Sector,2019-2020,2021-2022,2023-2024,Positive_All_Subperiods
Basic Materials,0.0055864320510815215,0.021861103620858413,0.023977065125590703,True
Communication Services,0.035414901575469115,-0.0014924385845257273,0.027264491403621794,False
Consumer Cyclical,0.04668764741851771,0.004261385069318008,0.052181135366253704,True
Consumer Defensive,0.012744825061808024,-0.004083510966431466,-0.001869693351487164,False
Energy,-0.005127469604456146,0.08280366061548153,-0.005209392791864221,False
Financial Services,0.02100305100858777,0.019184679607299707,0.053855225968704644,True
Healthcare,0.08213916515267103,0.0163675830738112,0.004981577421773888,True
Industrials,0.031959913105355495,0.01306967282065205,0.1052865571133149,True
Real Estate,0.010368010717168075,-0.006433579955375236,0.008833111230547273,False
Technology,0.2087314763737173,0.021029604468550584,0.1251992376775994,True
Utilities,0.009804443113025718,-0.0017764075242645552,0.0040803341389024726,False
